EVTDESC_CM_6000;My [Root.GetLordLady], we have received news that [From.GetTitledName] has chosen to go into hiding in order to try to foil a plot against [From.GetHerHis] life!;x
EVTDESC_CM_6001;My [Root.GetLordLady], it seems that [From.GetTitledName] has finally decided to come out of hiding, no longer as fearful for [From.GetHerHis] life.;x
EVTDESC_CM_6002;My [Root.GetLordLady], news has reached us that [FromFrom.GetTitledName] has sent [FromFrom.GetHerHis] [From.GetHusbandWife] [From.GetFirstName] into hiding in order to protect [From.GetHerHim] from a suspected murder plot.;x
EVTDESC_CM_6003;My [Root.GetLordLady], it seems [FromFrom.GetTitledName] has brought [FromFrom.GetHerHis] [From.GetHusbandWife] [From.GetFirstName] out of hiding, no longer as fearful of murder plots against [From.GetHerHim].;x
EVTDESC_CM_6004;My [Root.GetLordLady], news has reached us that [FromFrom.GetTitledName] has sent [FromFrom.GetHerHis] [From.GetSonDaughter] [From.GetFirstName] into hiding in order to protect [From.GetHerHim] from a suspected murder plot.;x
EVTDESC_CM_6005;My [Root.GetLordLady], it seems [FromFrom.GetTitledName] has brought [FromFrom.GetHerHis] [From.GetSonDaughter] [From.GetFirstName] out of hiding, no longer as fearful of murder plots against [From.GetHerHim].;x
EVTDESC_CM_6100;This terrible isolation in hiding... it has long been fraying at your fragile soul... it's almost unbearable. Yet you must learn to live with it... you must... adapt your mind. Yes, adapt... become something else...;x
EVTDESC_CM_6101;It seems that your [GetFromRelation]'s spirit has been suffering greatly from hiding away for so long, enough to drive [From.GetHerHim] insane...;x
EVTDESC_CM_6102;You sit in hiding, thinking of your enemies, how they could get to you and how you might prevent it. You go over all your plans again and again - did you really take the proper precautions? Are there any persons close to you that might plot against you? Can you really trust the guards?;x
EVTDESC_CM_6104;Hiding from your enemies, you gain little opportunity for spending time with others. Also, there is little opportunity for 'spending time' with others. You find, however, that you are getting used to it. Indeed, the absence of carnal thoughts makes you feel strangely pure and more at ease with yourself.;x
